GEOID,n_segments,total_km,pct_maxspeed,pct_surface,pct_ref,pct_name,median_edit_year,pct_recent,NAME,aland_km2,CTYNAME,POPESTIMATE2019,pop_density,road_density,km_per_1k,urban
17147,1213,1352.0521037896979,1.3190436933223413,1.0717230008244023,4.863973619126134,86.06760098928277,2013.0,7.996702390766694,Piatt County,1137.492084,Piatt County,16344,14.368451640143459,1.1886255058894089,82.72467595384838,False
17149,2449,2296.178104597259,1.7149857084524296,0.0,4.573295222539812,55.69620253164557,2012.0,6.737443854634545,Pike County,2153.190725,Pike County,15561,7.226949205811762,1.0664072057979253,147.55980364997487,False
17151,496,612.0117194950388,0.0,0.0,3.024193548387097,42.54032258064516,2008.0,7.661290322580645,Pope County,955.326683,Pope County,4177,4.3723263197077475,0.6406308233463619,146.51944445655707,False
17153,811,654.4796129266858,0.2466091245376079,0.12330456226880394,2.219482120838471,76.57213316892725,2013.0,1.2330456226880395,Pulaski County,516.225217,Pulaski County,5335,10.334636558446155,1.267817982101184,122.67659098906951,False
17155,562,402.65533090607477,0.5338078291814947,0.1779359430604982,5.338078291814947,79.53736654804271,2013.0,11.565836298932384,Putnam County,414.649309,Putnam County,5739,13.84061151299302,0.9710744047232326,70.16123556474557,False
17157,2530,2098.8022047176473,0.0,0.9486166007905139,3.557312252964427,70.19762845849803,2013.0,5.375494071146245,Randolph County,1490.194115,Randolph County,31782,21.327422837124814,1.4084085983104606,66.03744901886752,False
17159,1162,1483.188325798209,6.024096385542169,0.0,3.7005163511187606,86.48881239242685,2013.0,1.2908777969018932,Richland County,932.484096,Richland County,15513,16.636208667305784,1.590577611093336,95.60938089332876,False
17161,3821,1750.7524326819796,0.3925673907354096,1.6749542004710807,9.186076943208585,93.43103899502748,2014.0,27.139492279507984,Rock Island County,1107.09799,Rock Island County,141879,128.15396765375755,1.5813888639450784,12.339757347331034,True
17163,10105,4546.981641529013,1.603166749134092,3.5329045027214248,4.413656605640772,87.41217219198415,2013.0,24.967837704106877,St. Clair County,1703.443126,St. Clair County,259686,152.44770784322623,2.6692887905252047,17.509537062178993,True
17165,1636,1522.3726114129493,0.0,0.9168704156479218,2.689486552567237,75.30562347188264,2013.0,4.034229828850855,Saline County,984.170285,Saline County,23491,23.868836885275396,1.546858947700244,64.80663281311776,False
17167,7011,3918.638587173762,33.889602053915276,36.31436314363143,3.29482242190843,91.28512337754955,2016.0,42.77563828269862,Sangamon County,2248.804592,Sangamon County,194672,86.56688121881957,1.742542949758332,20.129441250789853,False
17169,1014,1282.4810480970727,0.6903353057199211,0.8875739644970414,3.648915187376726,68.34319526627219,2012.0,3.7475345167652856,Schuyler County,1132.602885,Schuyler County,6768,5.9756160695282,1.1323307269317724,189.49188062900012,False
17171,775,551.2495495449219,0.0,0.0,3.096774193548387,56.64516129032258,2012.0,2.193548387096774,Scott County,649.54204,Scott County,4951,7.622293393049663,0.8486741667174028,111.34105222074773,False
17173,2067,2055.5866628603976,0.0,0.1935171746492501,4.354136429608127,72.13352685050798,2013.0,19.15820029027576,Shelby County,1964.532713,Shelby County,21634,11.012287989321967,1.0463489099763326,95.01648621893305,False
17175,490,715.5575956949325,0.20408163265306123,0.0,10.0,94.28571428571428,2013.0,13.46938775510204,Stark County,746.15617,Stark County,5342,7.15935914595466,0.9589917291643283,133.94938144794693,False
17177,2142,2067.3012347977547,1.8207282913165268,2.567693744164332,5.042016806722689,78.52474323062559,2013.0,8.216619981325863,Stephenson County,1461.392067,Stephenson County,44498,30.449049919469694,1.4146109599743397,46.458295536827606,False
17179,4417,2942.2164371354875,10.527507357935251,11.772696400271677,4.369481548562373,92.59678514829069,2013.0,17.817523205795787,Tazewell County,1674.335551,Tazewell County,131803,78.71958516396575,1.7572442007686233,22.322833601173627,False
17181,1624,1059.1544598312075,0.3078817733990148,0.3694581280788177,3.201970443349754,59.05172413793104,2012.0,6.342364532019705,Union County,1070.730011,Union County,16653,15.552940357436192,0.9891891036490313,63.60142075489147,False
17183,4223,3305.196531959652,0.5446365143263082,1.1366327255505566,2.8179019654274216,76.72270897466255,2013.0,6.5829978688136395,Vermilion County,2326.634941,Vermilion County,75758,32.56118897941025,1.4205909460549326,43.62834990310795,False
17185,2385,1083.9115586818486,0.0,0.8805031446540881,0.9224318658280923,23.31236897274633,2008.0,7.79874213836478,Wabash County,578.403998,Wabash County,11520,19.91687477927841,1.8739696862915678,94.08954502446603,False
17187,1191,1488.021691420584,0.0,2.434928631402183,4.030226700251889,84.21494542401344,2013.0,8.900083963056256,Warren County,1404.768322,Warren County,16844,11.990589292345959,1.0592648397011504,88.34134952627547,False
17189,1633,1878.6165497339562,0.3674219228413962,0.9185548071034906,2.9393753827311695,67.17697489283528,2012.0,4.164115125535823,Washington County,1457.093517,Washington County,13887,9.530616832742384,1.2892903082856528,135.27878949621632,False
17191,2548,2609.276646442835,0.0,0.11773940345368916,2.0408163265306123,62.95133437990581,2008.0,1.0204081632653061,Wayne County,1848.810372,Wayne County,16215,8.770504669150569,1.4113273518798906,160.9174620069587,False
17193,4758,2404.705995120908,0.08406893652795291,0.903741067675494,1.7023959646910467,29.23497267759563,2008.0,0.6515342580916352,White County,1281.999214,White County,13537,10.559288845242616,1.875746856051433,177.6395061772112,False
17195,2275,2306.9648585911714,1.802197802197802,3.076923076923077,6.241758241758242,84.79120879120879,2013.0,5.802197802197803,Whiteside County,1771.808919,Whiteside County,55175,31.140491171666802,1.3020393078804517,41.81177813486491,False
17197,15715,7126.230426605122,1.0944957047406936,1.5208399618199173,3.3853006681514475,94.34934775692014,2016.0,42.29080496341076,Will County,2164.895527,Will County,690743,319.06528115802234,3.291720241336672,10.316760975652482,True
17199,3674,1972.032953117584,0.4899292324442025,1.0615133369624388,1.2248230811105063,79.47740881872618,2013.0,15.0789330430049,Williamson County,1088.349246,Williamson County,66597,61.19083579536931,1.8119486556042361,29.611438249734736,False
17201,7046,3681.0289285882127,0.5818904342889583,2.015327845586148,2.568833380641499,90.56202100482544,2013.0,12.886744252057905,Winnebago County,1329.068433,Winnebago County,282572,212.60906736169545,2.769630846080153,13.02687077484044,True
17203,1913,1643.276810568255,0.36591740721380034,1.3591217982226869,4.286461055933089,77.57449032932567,2013.0,11.186617877679037,Woodford County,1366.82184,Woodford County,38459,28.137536930197133,1.202261159777967,42.728017123904806,False
